time,gFx,gFy,gFz,TgF
1.070252343,-0.3715,0.0944,0.9411,1.016
1.070458437,-0.3745,0.0949,0.9381,1.015
1.070673905,-0.3725,0.0974,0.9372,1.013
1.07088453,-0.3569,0.0827,0.9259,0.996
1.076474426,-0.3593,0.0847,0.9225,0.994
1.076924739,-0.3671,0.0925,0.9147,0.990
1.081830208,-0.3603,0.0895,0.9030,0.976
1.082383958,-0.3588,0.0856,0.8922,0.965
1.091213958,-0.3691,0.0998,0.8878,0.967
1.092135833,-0.3710,0.1140,0.8839,0.965
1.095010155,-0.3535,0.0974,0.8663,0.941
1.095575468,-0.3539,0.1003,0.8619,0.937
1.09787078,-0.3632,0.1233,0.8614,0.943
1.09827927,-0.3593,0.1316,0.8590,0.940
1.106738541,-0.3500,0.1257,0.8507,0.928
1.107733645,-0.3525,0.1384,0.8512,0.932
1.108068437,-0.3539,0.1623,0.8595,0.944
1.108351718,-0.2362,0.0768,0.8531,0.889
1.112871874,-0.0530,0.0461,0.8194,0.822
1.113219062,-0.1604,0.1267,0.8101,0.836
1.117222083,-0.3701,0.1584,0.8531,0.943
1.117614374,-0.3217,0.1057,0.8849,0.947
1.123595051,-0.3041,0.1736,0.8531,0.922
1.124719426,-0.4336,0.2298,0.8570,0.988
1.128004166,-0.5523,0.2684,0.8961,1.086
1.128508385,-0.5518,0.2821,0.9093,1.100
1.132924687,-0.4820,0.2840,0.9000,1.060
1.133396405,-0.4179,0.2908,0.9000,1.034
1.136737187,-0.3618,0.2913,0.8981,1.011
1.13729927,-0.3178,0.2894,0.8917,0.990
1.141951562,-0.2982,0.2835,0.8917,0.982
1.142999322,-0.2943,0.2786,0.8946,0.982
1.14845651,-0.2919,0.2767,0.8907,0.977
1.149001249,-0.2948,0.2728,0.8917,0.978
1.153062603,-0.3036,0.2698,0.8956,0.983
1.153618645,-0.3090,0.2679,0.8976,0.986
1.170368489,-0.3139,0.2679,0.9030,0.993
1.171648905,-0.3183,0.2674,0.9078,0.998
1.172163124,-0.3188,0.2674,0.9142,1.004
1.172628541,-0.3217,0.2674,0.9215,1.012
1.173060989,-0.3251,0.2664,0.9269,1.018
1.17345927,-0.3271,0.2674,0.9313,1.023
1.173942447,-0.3324,0.2654,0.9381,1.030
1.174191666,-0.3363,0.2664,0.9411,1.034
1.17818276,-0.3388,0.2659,0.9445,1.038
1.178665208,-0.3398,0.2654,0.9479,1.041
1.182987708,-0.3412,0.2659,0.9504,1.044
1.183530468,-0.3432,0.2625,0.9528,1.046
1.188512187,-0.3495,0.2606,0.9543,1.049
1.189361301,-0.3535,0.2601,0.9538,1.050
1.195188853,-0.3520,0.2620,0.9572,1.053
1.196210364,-0.3539,0.2640,0.9596,1.056
1.199442135,-0.3549,0.2645,0.9635,1.060
1.199883385,-0.3578,0.2640,0.9670,1.064
1.202490833,-0.3593,0.2625,0.9640,1.062
1.207080833,-0.3588,0.2620,0.9635,1.061
1.208059062,-0.3569,0.2630,0.9645,1.062
1.208439374,-0.3544,0.2601,0.9665,1.062
1.214057343,-0.3539,0.2557,0.9714,1.065
1.214631301,-0.3583,0.2503,0.9728,1.067
1.217729895,-0.3637,0.2478,0.9704,1.066
1.218252343,-0.3613,0.2410,0.9689,1.062
1.223364166,-0.3578,0.2312,0.9665,1.056
1.22425078,-0.3539,0.2210,0.9655,1.052
1.227039322,-0.3515,0.2097,0.9670,1.050
1.227464739,-0.3500,0.1975,0.9665,1.047
1.232079999,-0.3486,0.1877,0.9650,1.043
1.232478593,-0.3432,0.1731,0.9640,1.038
1.239371718,-0.3388,0.1604,0.9640,1.034
1.239988124,-0.3315,0.1487,0.9640,1.030
1.243688541,-0.3241,0.1345,0.9631,1.025
1.244081926,-0.3241,0.1277,0.9670,1.028
1.247517499,-0.3232,0.1208,0.9650,1.025
1.247946197,-0.3207,0.1115,0.9660,1.024
1.252895208,-0.3144,0.1003,0.9626,1.018
1.253410833,-0.3119,0.0847,0.9596,1.013
1.262676249,-0.3065,0.0876,0.9631,1.014
1.263357447,-0.3070,0.0861,0.9660,1.017
1.263599843,-0.3051,0.0817,0.9645,1.015
1.263816301,-0.3036,0.0690,0.9572,1.007
1.267659791,-0.2987,0.0578,0.9547,1.002
1.268032551,-0.2997,0.0671,0.9640,1.012
1.272973749,-0.2977,0.0651,0.9665,1.013
1.273828853,-0.2924,0.0563,0.9606,1.006
1.277764999,-0.2855,0.0451,0.9489,0.992
1.278192291,-0.2909,0.0548,0.9552,1.000
1.283649374,-0.2982,0.0573,0.9562,1.003
1.284178645,-0.2914,0.0495,0.9494,0.994
1.28960776,-0.2899,0.0343,0.9362,0.981
1.290285416,-0.2885,0.0465,0.9450,0.989
1.294463801,-0.2904,0.0558,0.9479,0.993
1.295404582,-0.2875,0.0475,0.9391,0.983
1.298369687,-0.3002,0.0412,0.9303,0.978
1.29894552,-0.3046,0.0617,0.9455,0.995
1.30324927,-0.2797,0.0485,0.9352,0.977
1.303770728,-0.2758,0.0407,0.9289,0.970
1.309018541,-0.2777,0.0353,0.9254,0.967
